Architecture                              ,Accuracy ,AUROC              ,AUROC_TS           ,ECE_15               ,ECE_15_TS             ,Coverage_for_Accuracy_99 ,Coverage_for_Accuracy_99_TS ,AURC    ,AURC_TS
vit_base_patch16_224                      ,85.09800 ,0.8651112594260377 ,nan                ,0.09340965002775192  ,0.0010002227500081062 ,                 0.00078 ,                    0.00000 ,0.03934 ,1.00000
vit_base_patch16_224_useClassWeights      ,85.09800 ,0.872280638875247  ,nan                ,0.14792144298553467  ,0.0009336219518445432 ,                 0.31365 ,                    0.00000 ,0.03574 ,1.00000
vit_base_patch16_clip_384                 ,87.21200 ,0.831488787381522  ,0.855622849280347  ,0.12530533969402313  ,0.029308009892702103  ,                 0.00108 ,                    0.00078 ,0.04574 ,0.03811
vit_base_patch16_clip_384_useClassWeights ,87.21200 ,0.8462258675378644 ,0.8666932261178127 ,0.15216831862926483  ,0.023810356855392456  ,                 0.00072 ,                    0.00533 ,0.04100 ,0.03206
vit_large_patch14_clip_224                ,87.89400 ,0.8538036882816709 ,0.8716367264935334 ,0.0895177349448204   ,0.02862163633108139   ,                 0.00456 ,                    0.00207 ,0.03539 ,0.02999
vit_huge_patch14_clip_336                 ,88.58800 ,0.8443189106798437 ,0.8692831354781821 ,0.11980777233839035  ,0.02836460806429386   ,                 0.00574 ,                    0.00771 ,0.03612 ,0.02928
resnet18                                  ,69.75800 ,0.857630075768722  ,0.8563480281774716 ,0.026203788816928864 ,0.021983537822961807  ,                 0.13136 ,                    0.13306 ,0.10141 ,0.10125
resnet18_useClassWeights                  ,69.75800 ,0.8574039214493457 ,0.8578832040427241 ,0.10710315406322479  ,0.13409918546676636   ,                 0.05946 ,                    0.05967 ,0.10240 ,0.10126
resnet34                                  ,75.11200 ,0.8497775134316511 ,0.8576920991075577 ,0.07798461616039276  ,0.021722465753555298  ,                 0.00178 ,                    0.00589 ,0.08144 ,0.07743
resnet34_useClassWeights                  ,75.11200 ,0.8571590222546138 ,0.8602191238812263 ,0.15481097996234894  ,0.07062119990587234   ,                 0.09594 ,                    0.12415 ,0.07703 ,0.07583
resnet50                                  ,80.38400 ,0.8755077585176796 ,0.8738120057155849 ,0.08659949898719788  ,0.049639418721199036  ,                 0.24786 ,                    0.24131 ,0.05026 ,0.05072
resnet50_useClassWeights                  ,80.38400 ,0.8541465281493854 ,0.865569591066122  ,0.022929321974515915 ,0.050972092896699905  ,                 0.03188 ,                    0.09102 ,0.05864 ,0.05417
