,category,viewpoint,color,time,location,weather,accuracy,average_confidence
0,dog,side,white,day,at the beach,sunny,0.9799999594688416,0.7781133651733398
1,dog,side,white,day,at the beach,snowing,0.9399999976158142,0.7784032225608826
2,dog,side,white,day,at the beach,raining,0.85999995470047,0.7828860282897949
3,dog,side,white,day,at the beach,foggy,0.85999995470047,0.7626258134841919
4,dog,side,white,day,in the forest,sunny,0.7799999713897705,0.766901433467865
5,dog,side,white,day,in the forest,snowing,0.8799999952316284,0.8191998600959778
6,dog,side,white,day,in the forest,raining,0.6599999666213989,0.8098498582839966
7,dog,side,white,day,in the forest,foggy,0.7599999904632568,0.7442306280136108
8,dog,side,white,day,in the city,sunny,0.8999999761581421,0.771401047706604
9,dog,side,white,day,in the city,snowing,0.8199999928474426,0.7786473035812378
10,dog,side,white,day,in the city,raining,0.7799999713897705,0.7863311767578125
11,dog,side,white,day,in the city,foggy,0.699999988079071,0.7345123887062073
12,dog,side,white,day,inside a house,sunny,0.9399999976158142,0.8041591644287109
13,dog,side,white,day,in a garden,sunny,0.959999978542328,0.8227986097335815
14,dog,side,white,day,in a garden,snowing,0.959999978542328,0.8261536359786987
15,dog,side,white,day,in a garden,raining,0.8999999761581421,0.7598074078559875
16,dog,side,white,day,in a garden,foggy,0.959999978542328,0.76747065782547
17,dog,side,white,day,in the desert,sunny,0.9399999976158142,0.8030009269714355
18,dog,side,white,day,in the desert,snowing,0.7199999690055847,0.8008955121040344
19,dog,side,white,day,in the desert,raining,0.8999999761581421,0.7496851682662964
20,dog,side,white,day,in the desert,foggy,0.8999999761581421,0.7794149518013
21,dog,side,white,day,in the mountains,sunny,0.8999999761581421,0.7751092910766602
22,dog,side,white,day,in the mountains,snowing,0.8399999737739563,0.7932552695274353
23,dog,side,white,day,in the mountains,raining,0.7999999523162842,0.7535609006881714
24,dog,side,white,day,in the mountains,foggy,0.7999999523162842,0.7173746824264526
25,dog,side,white,night,at the beach,snowing,0.6800000071525574,0.7619290947914124
26,dog,side,white,night,at the beach,raining,0.7799999713897705,0.7860105037689209
27,dog,side,white,night,at the beach,foggy,0.7799999713897705,0.7768429517745972
28,dog,side,white,night,in the forest,snowing,0.6800000071525574,0.7815110683441162
29,dog,side,white,night,in the forest,raining,0.6399999856948853,0.7551318407058716
30,dog,side,white,night,in the forest,foggy,0.5199999809265137,0.7556290030479431
31,dog,side,white,night,in the city,snowing,0.7400000095367432,0.7636362910270691
32,dog,side,white,night,in the city,raining,0.6399999856948853,0.7418414354324341
33,dog,side,white,night,in the city,foggy,0.7199999690055847,0.7500689625740051
34,dog,side,white,night,in a garden,snowing,0.8799999952316284,0.7782589793205261
35,dog,side,white,night,in a garden,raining,0.7999999523162842,0.7686501145362854
36,dog,side,white,night,in a garden,foggy,0.8399999737739563,0.7602975964546204
37,dog,side,white,night,in the desert,snowing,0.4799999892711639,0.812688410282135
38,dog,side,white,night,in the desert,raining,0.7999999523162842,0.7426132559776306
39,dog,side,white,night,in the desert,foggy,0.7199999690055847,0.7652344107627869
40,dog,side,white,night,in the mountains,snowing,0.5799999833106995,0.7764663696289062
41,dog,side,white,night,in the mountains,raining,0.5999999642372131,0.7447858452796936
42,dog,side,white,night,in the mountains,foggy,0.6200000047683716,0.7566254734992981
43,dog,side,black,day,at the beach,sunny,1.0,0.8905079364776611
44,dog,side,black,day,at the beach,snowing,1.0,0.8980877995491028
45,dog,side,black,day,at the beach,raining,1.0,0.9049221873283386
46,dog,side,black,day,at the beach,foggy,0.9799999594688416,0.8687134385108948
47,dog,side,black,day,in the forest,sunny,0.9799999594688416,0.8917809128761292
48,dog,side,black,day,in the forest,snowing,1.0,0.898840606212616
49,dog,side,black,day,in the forest,raining,0.9799999594688416,0.8766577243804932
50,dog,side,black,day,in the forest,foggy,0.9799999594688416,0.8848670125007629
51,dog,side,black,day,in the city,sunny,1.0,0.8861866593360901
52,dog,side,black,day,in the city,snowing,1.0,0.8667422533035278
53,dog,side,black,day,in the city,raining,0.959999978542328,0.8800642490386963
54,dog,side,black,day,in the city,foggy,0.959999978542328,0.8604551553726196
55,dog,side,black,day,inside a house,sunny,1.0,0.8760150671005249
56,dog,side,black,day,in a garden,sunny,1.0,0.8938831686973572
57,dog,side,black,day,in a garden,snowing,1.0,0.8872689604759216
58,dog,side,black,day,in a garden,raining,1.0,0.8837856650352478
59,dog,side,black,day,in a garden,foggy,1.0,0.9001733064651489
60,dog,side,black,day,in the desert,sunny,1.0,0.8859722018241882
61,dog,side,black,day,in the desert,snowing,0.9799999594688416,0.8671727776527405
62,dog,side,black,day,in the desert,raining,1.0,0.896491527557373
63,dog,side,black,day,in the desert,foggy,1.0,0.8894152641296387
64,dog,side,black,day,in the mountains,sunny,1.0,0.8944509625434875
65,dog,side,black,day,in the mountains,snowing,1.0,0.892199695110321
66,dog,side,black,day,in the mountains,raining,0.959999978542328,0.8816158771514893
67,dog,side,black,day,in the mountains,foggy,0.9799999594688416,0.8911094665527344
68,dog,side,black,night,at the beach,snowing,1.0,0.8745281100273132
69,dog,side,black,night,at the beach,raining,1.0,0.8751646876335144
70,dog,side,black,night,at the beach,foggy,0.959999978542328,0.8810054063796997
71,dog,side,black,night,in the forest,snowing,1.0,0.871667742729187
72,dog,side,black,night,in the forest,raining,0.9199999570846558,0.8324531316757202
73,dog,side,black,night,in the forest,foggy,0.9399999976158142,0.8427435159683228
74,dog,side,black,night,in the city,snowing,0.9399999976158142,0.8623156547546387
75,dog,side,black,night,in the city,raining,0.8399999737739563,0.7863906621932983
76,dog,side,black,night,in the city,foggy,0.9399999976158142,0.8757777214050293
77,dog,side,black,night,in a garden,snowing,1.0,0.8705063462257385
78,dog,side,black,night,in a garden,raining,0.9199999570846558,0.8584815859794617
79,dog,side,black,night,in a garden,foggy,0.9799999594688416,0.8838473558425903
80,dog,side,black,night,in the desert,snowing,1.0,0.8835836052894592
81,dog,side,black,night,in the desert,raining,0.9399999976158142,0.8648342490196228
82,dog,side,black,night,in the desert,foggy,0.9799999594688416,0.8767580389976501
83,dog,side,black,night,in the mountains,snowing,0.8799999952316284,0.826043963432312
84,dog,side,black,night,in the mountains,raining,0.8399999737739563,0.8331747055053711
85,dog,side,black,night,in the mountains,foggy,0.8799999952316284,0.8838688731193542
86,dog,side,brown,day,at the beach,sunny,0.9799999594688416,0.8907235264778137
87,dog,side,brown,day,at the beach,snowing,1.0,0.8837632536888123
88,dog,side,brown,day,at the beach,raining,1.0,0.9032713174819946
89,dog,side,brown,day,at the beach,foggy,1.0,0.8857330083847046
90,dog,side,brown,day,in the forest,sunny,0.9799999594688416,0.8829002976417542
91,dog,side,brown,day,in the forest,snowing,1.0,0.894313633441925
92,dog,side,brown,day,in the forest,raining,1.0,0.8747498989105225
93,dog,side,brown,day,in the forest,foggy,0.9799999594688416,0.8787184953689575
94,dog,side,brown,day,in the city,sunny,1.0,0.8748672008514404
95,dog,side,brown,day,in the city,snowing,1.0,0.8743190765380859
96,dog,side,brown,day,in the city,raining,0.959999978542328,0.8436579704284668
97,dog,side,brown,day,in the city,foggy,0.9799999594688416,0.8614631295204163
98,dog,side,brown,day,inside a house,sunny,0.9399999976158142,0.8505333662033081
99,dog,side,brown,day,in a garden,sunny,1.0,0.8758389353752136
100,dog,side,brown,day,in a garden,snowing,1.0,0.866845965385437
101,dog,side,brown,day,in a garden,raining,0.9799999594688416,0.865181565284729
102,dog,side,brown,day,in a garden,foggy,1.0,0.8830035924911499
103,dog,side,brown,day,in the desert,sunny,0.9399999976158142,0.8471173048019409
104,dog,side,brown,day,in the desert,snowing,1.0,0.878332793712616
105,dog,side,brown,day,in the desert,raining,0.9199999570846558,0.8799047470092773
106,dog,side,brown,day,in the desert,foggy,0.9199999570846558,0.8602755665779114
107,dog,side,brown,day,in the mountains,sunny,0.9799999594688416,0.8791729807853699
108,dog,side,brown,day,in the mountains,snowing,1.0,0.8806402683258057
109,dog,side,brown,day,in the mountains,raining,1.0,0.8793792724609375
110,dog,side,brown,day,in the mountains,foggy,1.0,0.8858676552772522
111,dog,side,brown,night,at the beach,snowing,1.0,0.8836247324943542
112,dog,side,brown,night,at the beach,raining,0.9799999594688416,0.8801611065864563
113,dog,side,brown,night,at the beach,foggy,0.9399999976158142,0.8474908471107483
114,dog,side,brown,night,in the forest,snowing,0.9399999976158142,0.8591107130050659
115,dog,side,brown,night,in the forest,raining,0.959999978542328,0.8775112628936768
116,dog,side,brown,night,in the forest,foggy,0.9399999976158142,0.8516836166381836
117,dog,side,brown,night,in the city,snowing,0.9799999594688416,0.842914879322052
118,dog,side,brown,night,in the city,raining,0.85999995470047,0.8214312791824341
119,dog,side,brown,night,in the city,foggy,0.9199999570846558,0.8365206122398376
120,dog,side,brown,night,in a garden,snowing,0.9799999594688416,0.8838232755661011
121,dog,side,brown,night,in a garden,raining,0.959999978542328,0.8671787977218628
122,dog,side,brown,night,in a garden,foggy,0.9799999594688416,0.8755946755409241
123,dog,side,brown,night,in the desert,snowing,0.9399999976158142,0.8554993271827698
124,dog,side,brown,night,in the desert,raining,0.9399999976158142,0.895104706287384
125,dog,side,brown,night,in the desert,foggy,0.7999999523162842,0.822590172290802
126,dog,side,brown,night,in the mountains,snowing,0.9799999594688416,0.8715338110923767
127,dog,side,brown,night,in the mountains,raining,0.8999999761581421,0.8691186904907227
128,dog,side,brown,night,in the mountains,foggy,0.9399999976158142,0.8737848997116089
129,dog,side,beige,day,at the beach,sunny,0.9399999976158142,0.8581011295318604
130,dog,side,beige,day,at the beach,snowing,1.0,0.8869206309318542
131,dog,side,beige,day,at the beach,raining,0.9799999594688416,0.8736727833747864
132,dog,side,beige,day,at the beach,foggy,0.9399999976158142,0.8533953428268433
133,dog,side,beige,day,in the forest,sunny,0.85999995470047,0.8350057601928711
134,dog,side,beige,day,in the forest,snowing,1.0,0.8528791069984436
135,dog,side,beige,day,in the forest,raining,0.9799999594688416,0.8740202188491821
136,dog,side,beige,day,in the forest,foggy,0.8399999737739563,0.7896321415901184
137,dog,side,beige,day,in the city,sunny,1.0,0.8805987238883972
138,dog,side,beige,day,in the city,snowing,1.0,0.8662737607955933
139,dog,side,beige,day,in the city,raining,0.9799999594688416,0.8470452427864075
140,dog,side,beige,day,in the city,foggy,1.0,0.8516829013824463
141,dog,side,beige,day,inside a house,sunny,0.959999978542328,0.8577573299407959
142,dog,side,beige,day,in a garden,sunny,1.0,0.8580811023712158
143,dog,side,beige,day,in a garden,snowing,0.9799999594688416,0.8487918376922607
144,dog,side,beige,day,in a garden,raining,0.959999978542328,0.8650508522987366
145,dog,side,beige,day,in a garden,foggy,0.9799999594688416,0.867659330368042
146,dog,side,beige,day,in the desert,sunny,0.7999999523162842,0.7950477600097656
147,dog,side,beige,day,in the desert,snowing,0.8999999761581421,0.8195929527282715
148,dog,side,beige,day,in the desert,raining,0.9799999594688416,0.8784332275390625
149,dog,side,beige,day,in the desert,foggy,0.7400000095367432,0.8240004777908325
150,dog,side,beige,day,in the mountains,sunny,0.9399999976158142,0.8372158408164978
151,dog,side,beige,day,in the mountains,snowing,0.959999978542328,0.8625200390815735
152,dog,side,beige,day,in the mountains,raining,0.959999978542328,0.9046435356140136
153,dog,side,beige,day,in the mountains,foggy,0.9199999570846558,0.822121262550354
154,dog,side,beige,night,at the beach,snowing,0.9399999976158142,0.8591275811195374
155,dog,side,beige,night,at the beach,raining,0.9399999976158142,0.8923388719558716
156,dog,side,beige,night,at the beach,foggy,0.8199999928474426,0.8292165994644165
157,dog,side,beige,night,in the forest,snowing,0.8999999761581421,0.8320253491401672
158,dog,side,beige,night,in the forest,raining,0.8999999761581421,0.8197934031486511
159,dog,side,beige,night,in the forest,foggy,0.7999999523162842,0.819194495677948
160,dog,side,beige,night,in the city,snowing,0.9799999594688416,0.8395394682884216
161,dog,side,beige,night,in the city,raining,0.9199999570846558,0.8077223896980286
162,dog,side,beige,night,in the city,foggy,0.9199999570846558,0.7859243750572205
163,dog,side,beige,night,in a garden,snowing,0.959999978542328,0.8414910435676575
164,dog,side,beige,night,in a garden,raining,1.0,0.8586102724075317
165,dog,side,beige,night,in a garden,foggy,0.959999978542328,0.8530941605567932
166,dog,side,beige,night,in the desert,snowing,0.8199999928474426,0.7987673878669739
167,dog,side,beige,night,in the desert,raining,0.8399999737739563,0.8442385792732239
168,dog,side,beige,night,in the desert,foggy,0.6800000071525574,0.8034496903419495
169,dog,side,beige,night,in the mountains,snowing,0.9199999570846558,0.8362558484077454
170,dog,side,beige,night,in the mountains,raining,0.8199999928474426,0.852066695690155
171,dog,side,beige,night,in the mountains,foggy,0.8399999737739563,0.8474351167678833
172,dog,side,gray,day,at the beach,sunny,1.0,0.8228221535682678
173,dog,side,gray,day,at the beach,snowing,0.9799999594688416,0.8413928151130676
174,dog,side,gray,day,at the beach,raining,0.9399999976158142,0.8121946454048157
175,dog,side,gray,day,at the beach,foggy,0.9799999594688416,0.8278684020042419
176,dog,side,gray,day,in the forest,sunny,1.0,0.8434327244758606
177,dog,side,gray,day,in the forest,snowing,0.9799999594688416,0.8470903635025024
178,dog,side,gray,day,in the forest,raining,0.9799999594688416,0.8424381017684937
179,dog,side,gray,day,in the forest,foggy,0.9399999976158142,0.8014017939567566
180,dog,side,gray,day,in the city,sunny,1.0,0.8409152030944824
181,dog,side,gray,day,in the city,snowing,0.959999978542328,0.858235776424408
182,dog,side,gray,day,in the city,raining,0.9799999594688416,0.8104085326194763
183,dog,side,gray,day,in the city,foggy,0.959999978542328,0.8466982841491699
184,dog,side,gray,day,inside a house,sunny,0.9199999570846558,0.81759113073349
185,dog,side,gray,day,in a garden,sunny,1.0,0.8517258763313293
